,Silverside,Silverside,Silverside,Silverside,Silverside,Silverside,Silverside,Silverside,Silverside,Silverside,Silverside,Silverside,Silverside,Silverside,Silverside,Silverside,Silverside,Silverside,Sailfin Molly,Sailfin Molly,Sailfin Molly,Sailfin Molly,Sailfin Molly,Sailfin Molly,Sailfin Molly,Sailfin Molly,Sailfin Molly,Sailfin Molly,Sailfin Molly,Sailfin Molly,Sheepshead minnow,Sheepshead minnow,Sheepshead minnow,Sheepshead minnow,Sheepshead minnow,Sheepshead minnow,Sheepshead minnow,Sheepshead minnow,Sheepshead minnow,Sheepshead minnow,Sheepshead minnow,Sheepshead minnow,Sheepshead minnow,Sheepshead minnow,Striped Mullet,Striped Mullet,Striped Mullet,Grass Shrimp,Grass Shrimp,Grass Shrimp,Grass Shrimp,Grass Shrimp,Grass Shrimp,Grass Shrimp,Grass Shrimp,Grass Shrimp,Grass Shrimp,Grass Shrimp,Grass Shrimp,Grass Shrimp,Grass Shrimp
18:1n-7,4.68,4.17,2.27,5.10,3.77,4.06,4.49,4.43,6.02,4.03,4.11,5.13,4.23,3.57,2.69,3.08,2.58,3.00,5.64,6.44,6.79,7.31,6.45,6.45,6.04,6.24,5.93,5.68,5.75,5.21,6.52,6.32,6.77,5.48,6.72,7.79,7.79,6.83,5.28,6.09,4.63,5.16,5.08,2.81,3.92,3.48,3.40,7.81,8.20,7.48,7.42,6.42,6.85,7.40,7.87,7.01,7.71,7.80,7.27,7.31,7.25
18:2n-6,4.45,4.42,5.38,6.06,4.97,5.47,5.70,5.42,2.78,2.49,5.68,5.18,4.44,4.96,0.79,1.00,0.84,4.58,3.10,2.39,3.66,3.29,7.41,7.04,6.59,6.11,6.11,6.80,6.54,4.66,4.38,3.06,4.92,2.79,4.05,5.27,4.02,4.46,3.59,3.07,3.61,4.07,3.53,1.01,1.45,0.75,0.70,8.31,7.56,6.93,8.41,8.80,9.46,7.92,7.94,7.97,8.36,9.69,8.49,7.39,8.28
18:3n-6,1.04,0.87,1.60,1.27,0.86,1.28,1.21,1.28,0.97,0.63,1.21,1.47,1.36,0.87,0.33,0.36,0.30,1.02,1.98,1.70,1.93,2.02,0.85,0.91,0.94,1.34,1.39,1.17,1.07,1.45,0.81,0.95,0.79,0.78,0.83,1.15,0.80,1.02,0.98,0.74,1.02,0.68,0.61,0.07,0.42,0.90,0.90,0.68,0.62,0.63,0.66,0.77,0.88,0.70,0.71,0.81,0.76,0.74,0.78,0.84,0.77
18:3n-3,3.20,1.52,2.70,4.02,2.16,2.67,3.51,3.64,1.04,0.56,3.82,3.30,3.03,1.27,0.38,0.76,0.59,1.11,1.47,1.29,2.18,1.99,3.28,3.53,2.92,3.23,2.27,2.71,2.73,2.59,1.96,1.63,2.13,1.88,1.69,2.43,2.08,2.25,1.91,1.63,1.64,1.50,0.49,0.41,0.32,0.25,0.20,3.74,3.43,3.46,3.85,3.01,3.40,3.15,3.48,3.28,3.37,3.56,3.48,2.68,2.77
18:4n-3,0.59,0.26,0.61,0.64,0.35,0.38,0.58,0.63,0.40,0.25,0.72,0.72,0.65,0.19,0.27,0.73,0.69,0.15,0.81,0.63,0.70,0.67,0.29,0.28,0.28,0.46,0.39,0.30,0.31,0.67,0.77,0.85,0.38,1.18,0.23,0.56,0.36,0.52,0.41,0.24,0.12,0.50,0.15,0.16,0.27,0.22,0.18,0.27,0.30,0.19,0.25,0.27,0.09,0.24,0.28,0.21,0.12,0.21,0.21,0.30,0.19
20:1n-11,0.39,0.31,0.43,0.39,0.36,0.56,0.48,0.53,0.48,0.42,0.51,0.64,0.73,0.47,0.31,0.26,0.26,0.33,1.00,1.09,0.90,0.47,0.32,0.31,0.38,0.56,0.45,0.41,0.44,0.70,0.51,0.36,0.50,0.56,0.62,0.69,0.58,0.65,0.54,0.76,0.65,0.67,0.37,0.41,0.91,1.75,1.41,0.40,0.38,0.39,0.32,0.31,0.29,0.40,0.38,0.31,0.40,0.31,0.31,0.52,0.40
20:1n-9,1.41,0.97,2.06,1.12,0.73,0.31,0.38,0.42,0.33,0.29,0.28,0.51,0.49,0.19,0.23,0.40,0.21,0.14,0.41,0.61,0.63,1.01,0.41,0.16,0.23,0.21,0.17,0.16,0.17,0.19,0.49,0.73,0.56,0.73,0.78,0.97,0.62,0.65,0.49,0.51,0.32,0.54,0.75,0.60,0.48,0.21,0.25,0.53,1.65,0.18,0.20,0.14,0.17,0.17,0.16,0.13,0.21,0.14,0.16,0.16,0.16
20:4n-6,5.31,6.70,5.48,4.59,6.69,6.43,5.00,5.04,5.04,6.50,5.51,4.58,5.10,8.51,3.91,2.90,3.00,8.33,8.00,6.78,7.19,6.58,4.90,4.18,4.92,5.16,4.78,5.72,5.06,6.09,3.42,4.52,4.79,4.42,7.45,4.32,4.78,4.28,7.01,6.79,10.57,6.23,7.13,7.20,8.12,8.66,9.26,4.58,4.10,4.63,4.48,5.90,5.31,4.84,4.46,5.29,4.75,5.50,4.92,6.22,6.77
20:4n-3,0.67,0.44,0.84,0.91,0.57,0.71,1.03,1.30,0.56,0.40,0.91,1.07,1.19,0.35,0.36,0.56,0.29,0.35,0.43,0.28,0.38,0.38,0.29,0.37,0.34,0.52,0.45,0.43,0.40,0.42,0.68,0.68,0.46,0.80,0.68,0.57,0.70,0.89,0.57,0.51,0.32,0.72,0.30,0.22,0.37,0.32,0.36,0.34,0.30,0.25,0.23,0.32,0.26,0.24,0.25,0.23,0.24,0.22,0.22,0.21,0.20
20:5n-3,4.28,2.65,3.29,3.21,3.52,3.54,3.90,4.19,3.60,3.30,4.01,3.48,3.33,3.79,8.90,9.54,9.38,2.46,3.59,2.87,3.11,2.44,3.65,2.86,2.61,2.51,2.09,2.38,2.59,2.33,4.76,5.33,4.16,5.01,2.83,2.58,3.22,3.63,3.83,2.38,3.03,4.11,10.74,9.60,8.87,8.72,9.65,12.21,10.66,11.73,10.94,10.29,10.53,11.52,10.82,11.00,9.91,11.04,10.38,11.45,12.44
22:1n-9,0.10,0.14,0.10,0.05,0.17,0.16,0.19,0.19,0.37,0.14,0.10,0.15,0.18,0.16,0.08,0.06,0.07,0.07,0.30,0.31,0.26,0.06,0.02,0.09,0.09,0.29,0.17,0.24,0.24,0.46,0.19,0.16,0.17,0.20,0.50,0.13,0.17,0.17,0.21,0.12,0.09,0.14,0.36,0.19,0.30,0.36,0.36,0.08,0.07,0.08,0.08,0.10,0.10,0.07,0.08,0.04,0.04,0.03,0.05,0.21,0.11
21:5n-3,0.12,0.07,0.17,0.17,0.12,0.13,0.15,0.20,0.19,0.15,0.16,0.17,0.18,0.09,0.21,0.30,0.24,0.07,0.17,0.16,0.12,0.15,0.13,0.09,0.08,0.16,0.13,0.11,0.13,0.26,0.40,0.53,0.30,0.52,0.28,0.33,0.24,0.27,0.23,0.19,0.25,0.31,0.39,0.26,0.22,0.28,0.33,0.12,0.12,0.09,0.08,0.07,0.06,0.09,0.10,0.06,0.07,0.08,0.08,0.11,0.08
22:5n-3,4.26,3.67,5.02,5.50,5.04,5.14,3.87,4.22,4.14,4.38,4.73,3.43,3.86,4.22,1.53,1.79,1.19,3.46,6.18,6.30,6.15,5.38,4.32,3.30,3.60,4.11,3.70,4.00,3.81,4.21,6.81,8.33,6.65,8.15,5.52,5.05,5.56,5.29,5.58,5.89,5.91,6.42,4.61,2.40,6.12,7.42,8.16,0.74,0.81,0.65,0.64,0.87,0.68,0.68,0.61,0.59,0.60,0.46,0.60,0.64,0.53
22:6n-3,22.83,27.65,23.36,21.21,28.74,20.35,17.60,17.97,21.43,30.61,19.90,15.51,17.96,23.31,33.60,32.58,35.80,20.72,12.14,11.16,10.75,12.32,14.70,12.90,13.61,15.02,13.14,15.47,13.93,11.94,12.35,15.31,15.83,18.57,18.61,10.12,15.32,8.94,20.85,20.52,23.58,19.72,17.37,30.82,19.72,19.08,20.20,6.94,6.90,6.34,5.40,7.08,5.20,6.07,5.26,6.07,5.03,4.23,4.77,5.44,5.47
24:1n-9,0.59,0.90,0.50,0.43,0.76,0.11,0.20,0.17,0.51,0.76,0.52,0.36,0.43,0.81,1.08,0.87,1.33,0.67,0.25,0.12,0.20,0.14,0.18,0.04,0.06,0.18,0.17,0.19,0.15,0.26,0.12,0.16,0.21,0.22,0.31,0.14,0.22,0.21,0.39,0.22,0.27,0.27,0.42,0.88,0.50,0.25,0.23,0.00,0.03,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.05,0.04,0.06,0.09,0.08
